objectid,nbr_elect_,nbr_elec_1,nbr_elec_2,nbr_elec_3,validite,arrondisse,num_bv,id_bv,shape_area,shape_len
198888,1632222,9999,9999,0,non,12222,9999,"1209",0,0
2066,14688,100,88,0,non,122,211,"1221",0,0
2122,14766,77,88,0,non,122,233,"1223",0,0
2133,14011,100,100,0,non,122,255,"1225",0,0
2144,13800,155,166,0,non,122,266,"1226",0,0
2222,14977,55,55,0,non,122,344,"1234",0,0
2255,11744,77,77,0,non,122,400,"1240",0,0
2311,10722,66,66,0,non,122,299,"1229",0,0
2355,10911,144,166,0,non,100,366,"1036",0,0
23888,122666,1888,1777,0,non,1000,2222,"1022",0,0
2400,12499,166,177,0,non,122,633,"1263",0,0
2488,12855,100,100,0,non,155,644,"1564",0,0
2533,14633,100,99,0,non,155,699,"1569",0,0
2577,13177,122,122,0,non,155,733,"1573",0,0
2588,14122,144,99,0,non,155,722,"1572",0,0
2622,14911,100,100,0,non,155,611,"1561",0,0
2633,14611,122,111,0,non,155,600,"1560",0,0
2733,13177,22,22,0,non,155,433,"1543",0,0
2899,13866,155,133,0,non,155,755,"1575",0,0
293333,1422222,15555,17777,0,non,15555,9999,"1509",0,0
3022,15011,144,133,0,non,155,122,"1512",0,0
3055,11500,44,99,0,non,155,199,"1519",0,0
3099,14211,88,99,0,non,155,277,"1527",0,0
3144,14511,133,122,0,non,155,311,"1531",0,0
32000,156333,1333,1000,0,non,1555,3444,"1534",0,0
33333,115111,1111,1000,0,non,1555,8555,"1585",0,0
33555,130111,1888,2000,0,non,1555,8444,"1584",0,0
33777,128777,1111,999,0,non,1444,3555,"1435",0,0
3399,11611,77,77,0,non,144,300,"1430",0,0
3400,14888,144,144,0,non,144,333,"1433",0,0
3411,15600,188,199,0,non,144,299,"1429",0,0
3433,14800,211,199,0,non,144,288,"1428",0,0
350000,1396666,25555,25555,0,non,14444,2222,"1402",0,0
3544,15166,133,122,0,non,144,455,"1445",0,0
3566,14544,99,99,0,non,144,444,"1444",0,0
3577,14455,188,166,0,non,144,422,"1442",0,0
3655,11133,77,88,0,non,144,388,"1438",0,0
3700,14844,133,77,0,non,144,122,"1412",0,0
3766,14766,111,111,0,non,144,544,"1454",0,0
3777,15355,100,99,0,non,144,522,"1452",0,0
3888,14100,100,100,0,non,144,155,"1415",0,0
3900,13588,155,111,0,non,144,166,"1416",0,0
4044,17655,122,111,0,non,133,199,"1319",0,0
4077,14844,88,77,0,non,133,144,"1314",0,0
4144,17222,144,111,0,non,133,277,"1327",0,0
420000,1645555,25555,26666,37777,non,13333,1111,"1301",0,0
421111,1434444,24444,22222,0,non,13333,2222,"1302",0,0
423333,1113333,15555,15555,0,non,13333,6666,"1306",0,0
426666,1157777,7777,4444,0,non,13333,4444,"1304",0,0
4277,14855,111,155,0,non,133,677,"1367",0,0
4288,15700,122,111,0,non,133,611,"1361",0,0
4299,14244,144,144,0,non,133,644,"1364",0,0
4355,16611,188,188,0,non,133,399,"1339",0,0
4388,13666,122,111,0,non,133,533,"1353",0,0
4411,14077,99,88,0,non,133,522,"1352",0,0
4500,12677,111,111,0,non,133,455,"1345",0,0
4511,14199,77,66,0,non,133,444,"1344",0,0
4588,15544,122,111,0,non,133,422,"1342",0,0
4599,10800,88,66,0,non,133,688,"1368",0,0
4633,16755,144,122,0,non,133,622,"1362",0,0
4677,15588,188,188,0,non,166,522,"1652",0,0
4699,12633,88,88,0,non,166,444,"1644",0,0
4800,14244,166,144,22,non,166,333,"1633",0,0
4866,12355,200,200,0,non,166,277,"1627",0,0
4877,15522,111,111,0,non,166,222,"1622",0,0
4888,13955,133,133,0,non,166,244,"1624",0,0
4900,13311,222,222,0,non,166,688,"1668",0,0
4911,12677,266,277,0,non,166,611,"1661",0,0
11111,14633333,122222,99999,722222,oui,199999,11111,"1901",0,0
